epoch, batch, loss, loss_f, loss_e, f_rmse, f_mae, e_mae
   10,    22,           4.4812,         0.044594,         0.021829,             4.36,           3.6298,           3.0469
   10,    23,           5.3605,         0.053602,       0.00032469,           4.7801,           3.6979,            0.375
   10,    24,           1.9987,          0.01995,        0.0037491,           2.9162,           2.3203,           1.2656
   10,    25,           4.6256,         0.046164,        0.0092622,           4.4361,           3.5024,           1.9844
   11,     1,           1.6789,          0.01653,         0.025845,           2.6545,           1.9551,           3.3125
   11,     2,           1.8672,         0.018439,         0.023355,           2.8036,             2.31,           3.1562
   11,     3,           2.4007,         0.023971,        0.0035441,           3.1966,            2.528,           1.2344
   11,     4,           2.6316,         0.026307,       0.00094613,           3.3487,           2.4439,          0.64062
   11,     5,           1.9594,         0.019524,        0.0069716,           2.8849,           2.2557,           1.7188
   11,     6,           2.5961,         0.025759,         0.020266,           3.3137,           2.4489,           2.9375
   11,     7,           6.0218,          0.05876,           0.1458,           5.0048,           3.6636,           7.8906
   11,     8,           2.2426,          0.02176,         0.066583,           3.0456,           2.4034,           5.3281
   11,     9,           6.3141,         0.062508,         0.063264,            5.162,           4.4202,           5.1875
   11,    10,           1.9384,         0.019365,        0.0018463,           2.8732,           2.3462,          0.89062
   11,    11,           3.2074,         0.032009,        0.0065127,           3.6939,           2.9122,           1.6719
   11,    12,           3.5384,         0.035379,       0.00043129,           3.8835,           3.0369,          0.42188
   11,    13,           1.6175,         0.016136,        0.0038552,           2.6227,           2.0486,           1.2812
   11,    14,           3.3458,         0.033434,        0.0024553,           3.7752,           3.0087,           1.0156
   11,    15,           2.8049,         0.027669,         0.038038,           3.4343,           2.7219,           4.0312
   11,    16,            1.429,         0.013987,          0.03032,           2.4418,           1.9376,           3.5938
   11,    17,           2.9597,         0.029227,         0.037032,           3.5297,           2.7497,           3.9688
   11,    18,            2.424,          0.02412,            0.012,           3.2065,            2.116,           2.2656
   11,    19,           3.8325,         0.037935,            0.039,           4.0213,           2.8985,           4.0781
   11,    20,           1.7339,         0.016791,         0.054842,           2.6754,           2.0101,           4.8281
   11,    21,           2.7304,         0.026843,         0.046121,           3.3827,           2.5005,           4.4375
   11,    22,            3.925,         0.039242,        0.0008365,             4.09,           3.1551,          0.59375
   11,    23,           1.9702,         0.019337,         0.036511,           2.8711,            2.303,           3.9375
